Postcode,Huisnummer,Bouwjaar,Gebouwtype,Energieklasse,warmte_predicted,warmte_final,gas_sjv_m3,gas_per_m2,priority,PC4
1628PE,111,1995,Appartement,A,50.29211205525658,47.92,,,Low,1628
1628PE,110,1995,Appartement,A,50.83423076811582,48.51,,,Low,1628
1628PE,109,1995,Appartement,A,50.29211205525658,48.07,,,Low,1628
1628PE,108,1995,Appartement,A,50.83423076811582,48.66,,,Low,1628
1628PE,107,1995,Appartement,A,50.29211205525658,47.92,,,Low,1628
1628PE,106,1995,Appartement,A,51.59735994122944,48.51,,,Low,1628
1628PE,105,1995,Appartement,A,50.29211205525658,47.92,,,Low,1628
1628PE,104,1995,Appartement,A,51.59735994122944,48.51,,,Low,1628
1628PE,103,1995,Appartement,A,50.29211205525658,47.92,,,Low,1628
1628PE,102,1995,Appartement,A,51.59735994122944,48.51,,,Low,1628
1628PE,101,1995,Appartement,A,74.47045416031276,60.89,,,Low,1628
1623LC,55,1910,Rijwoning hoek,A,101.49821477080837,94.8,,,Low,1623
1624NM,26,2019,Appartement,A,77.48591133249319,60.8,,,Low,1624
1628XB,77,1998,Vrijstaande woning,B,117.05450131100733,123.6,,,Low,1628
1689JA,5,1981,Rijwoning hoek,A,126.81213715531727,134.08,1156.9471830985915,6.990195052254194,Medium,1689
1628MV,63,1992,Twee-onder-één-kap,A,116.60400038809384,121.32,,,Low,1628
1689NT,25,1980,Rijwoning hoek,C,130.02947750651037,124.2,1156.9471830985915,9.90197862973803,Medium,1689
1621EN,22,1860,Rijwoning tussen,A++,128.22665242455966,114.01,,,Medium,1621
1628DD,55,1983,Rijwoning tussen,C,121.57426551454468,128.4,,,Medium,1628
1625HV,34,1998,Appartement,A,129.49363579951222,144.48,,,Low,1625
1625MD,19,2013,Twee-onder-één-kap,A+,75.8557184971195,82.95,,,Low,1625
1621GG,4,1880,Vrijstaande woning,C,139.420609610034,136.69,,,Medium,1621
1689LB,40,1979,Rijwoning tussen,A,106.28554788431225,107.59,1156.9471830985915,10.205055862208622,Medium,1689
1622AA,28,1967,Rijwoning hoek,D,190.97495390198765,180.45,,,High,1622
1621BB,1,1905,Rijwoning hoek,E,240.6883969608393,247.76,,,High,1621
1689PG,15,1982,Rijwoning tussen,B,104.98142275578876,104.08,1156.9471830985915,11.115941421008758,Medium,1689
1689RM,6,1980,Rijwoning tussen,B,126.98484388228762,121.53,1156.9471830985915,15.417739646836239,Medium,1689
1628AA,4,1983,Rijwoning hoek,B,115.73655665150405,121.47,,,Medium,1628
1624VL,20,1966,Rijwoning hoek,B,142.87078139487883,135.35,,,Medium,1624
1628SN,48,1993,Vrijstaande woning,C,129.14788125744613,123.13,,,Low,1628
1689GA,145,1966,Vrijstaande woning,B,202.87938213072283,233.29,1156.9471830985915,9.547344306804682,High,1689
1623MH,11,2002,Vrijstaande woning,A,103.3630269434107,106.23,,,Low,1623
1623RK,124,1928,Rijwoning hoek,F,242.32579036143332,238.65,,,High,1623
1689WD,16,2008,Rijwoning tussen,A,68.3317998066844,75.7,1156.9471830985915,11.137342925477393,Low,1689
1689WX,51,2010,Twee-onder-één-kap,A,88.32811260866654,97.9,1156.9471830985915,7.164646910444585,Low,1689
1628RN,113,1992,Twee-onder-één-kap,A,108.30842793347507,105.15,,,Low,1628
1623RZ,58,1939,Rijwoning tussen,D,182.55208917861108,188.8,,,High,1623
1623LX,33,2007,Appartement,A+,43.020204225379096,37.39,,,Low,1623
1628DG,112,1983,Vrijstaande woning,A+,115.65858456978916,129.25,,,Medium,1628
1628ME,22,1989,Twee-onder-één-kap,A,101.99700521601387,98.6,,,Low,1628
1622GP,69,1978,Rijwoning tussen,A,94.37730565852026,105.58,,,Medium,1622
1689RG,72,1981,Appartement,B,112.1987308256653,115.92,1156.9471830985915,12.60291049127006,Medium,1689
1689RG,71,1981,Appartement,B,111.86315129206596,116.78,1156.9471830985915,12.60291049127006,Medium,1689
1689RG,70,1981,Appartement,C,141.2798911345248,142.72,1156.9471830985915,14.200898282786197,Medium,1689
1689RG,69,1981,Appartement,B,116.61486111123938,120.97,1156.9471830985915,14.200898282786197,Medium,1689
1689RG,68,1981,Appartement,B,98.758987461818,98.3,1156.9471830985915,21.751216076303656,Low,1689
1689RG,67,1981,Appartement,C,119.52587386222521,121.39,1156.9471830985915,21.751216076303656,Medium,1689
